file,label,ch1_rms,ch1_std,ch1_kurtosis,ch1_peak_to_peak,ch1_crest_factor,ch2_rms,ch2_std,ch2_kurtosis,ch2_peak_to_peak,ch2_crest_factor,ch3_rms,ch3_std,ch3_kurtosis,ch3_peak_to_peak,ch3_crest_factor,ch4_rms,ch4_std,ch4_kurtosis,ch4_peak_to_peak,ch4_crest_factor,ch5_rms,ch5_std,ch5_kurtosis,ch5_peak_to_peak,ch5_crest_factor,ch6_rms,ch6_std,ch6_kurtosis,ch6_peak_to_peak,ch6_crest_factor
data\mafaulda\normal\12.288.csv,normal,0.9791777752906179,0.9791741607223889,1.9342677699078192,4.6713000000000005,3.2097337980799456,0.3073705929142411,0.30736994391002836,2.2740550946355933,2.33331,5.560063450574852,0.04480979144083867,0.04480861959546429,2.622561425008221,0.36179,4.205777208944202,0.668827447103778,0.6681045645860387,2.612858835948321,4.2564,3.4091005229115554,0.030364411677687265,0.030199951168850804,2.232540688430931,0.16862,2.821329147661986,0.19757497748101052,0.1975124564461953,2.7490188127415314,1.4460600000000001,4.001468251088825
data\mafaulda\normal\13.1072.csv,normal,1.2455864327635453,1.2454805075937057,2.0152470536803606,6.4158,3.560732425291179,0.30947622853400447,0.30947585771186176,2.339577299197746,2.41686,5.8641014465322145,0.04652797790656458,0.046526259918073125,2.6922718125102434,0.38634999999999997,4.4267988600523305,0.8937846464036291,0.8936730812277783,2.4028365600833244,5.4184,3.3004594692240805,0.030155604953482053,0.030011840496531175,2.233333250006764,0.172355,2.9732449354269215,0.2842619039331191,0.28426164889366917,2.4160300030923967,1.69278,3.071603994808503
data\mafaulda\normal\14.336.csv,normal,1.3272392495003154,1.3264158671850197,1.9784289816313916,6.6176,3.3544818700477212,0.3062845621959085,0.3062842202726203,2.365686576838132,2.2473099999999997,5.361027626373236,0.04938303438628079,0.04938019340700675,2.7735405298044697,0.42103999999999997,4.473398653972377,0.8122883872791155,0.8114858781361509,2.751370229646847,5.3355999999999995,3.4114731209454776,0.03150543928413042,0.031407639654110385,2.302634886679192,0.18565900000000002,3.0823566310557697,0.19862265111169977,0.1982535786012881,2.9814959002867507,1.5687000000000002,4.372864800169571
data\mafaulda\normal\15.1552.csv,normal,1.291971047179721,1.2916698199677052,2.001415385194312,6.5817,3.470279004657362,0.30971973689588794,0.30971915716537396,2.3870613655441066,2.32807,5.418124192783618,0.051197937915018275,0.051195974213017394,2.7923642078213176,0.41167,4.286305435496779,0.8473695457698773,0.8466956954703304,2.6597189847376725,5.145,3.142430611270636,0.030815047290584128,0.030706324054946523,2.284790904832024,0.185616,3.288328546623053,0.20823173525984218,0.2078195979578071,3.0868834944348453,1.57229,4.014421714132294
data\mafaulda\normal\16.1792.csv,normal,1.1362104923801875,1.136197788889071,1.9998299094143677,5.9270000000000005,3.57231342859719,0.3268692924054836,0.32686840299224573,2.4722165810471486,2.39119,5.307014270760531,0.05496929638042924,0.054967592206523155,2.8402492533348465,0.45311999999999997,4.279843750297219,0.7917674386007826,0.7908528233104004,2.7967589059346993,5.1851,3.3008429903211387,0.02937441266052843,0.029242059130570697,2.13514198957699,0.16258,2.7872897636278435,0.26695527481797016,0.25947314118529713,3.0097414387481383,2.1492,4.074090689289421
data\mafaulda\normal\17.2032.csv,normal,1.05543343664775,1.055429089105128,1.9732615264687563,5.1973,3.2581874709185263,0.33075490821240794,0.33075442916734155,2.51072490538653,2.47913,5.348371121764658,0.057574353819944066,0.05757307412487054,2.9375735189639176,0.51727,4.565748151781524,1.2646472979075172,1.264580290587376,2.0396827715192716,6.218400000000001,2.6912642009849685,0.029346019834919752,0.029217984342974956,2.1189213214726474,0.163717,2.912456278212288,0.5171258706127569,0.5169919091095261,1.8618008083873507,2.6036,2.615804152547169
data\mafaulda\normal\18.432.csv,normal,1.1034323378020552,1.1031030342762904,2.1453244186643965,6.0577,3.7633481069580546,0.3226128449425055,0.3226117494803968,2.5149844880743584,2.3589,5.1135595663670665,0.060911725103486636,0.060910794993882626,2.9022418632595235,0.5436399999999999,4.595995254850792,1.205270915934919,1.2015537989852132,2.142012044334398,6.4653,2.9111297330087953,0.029673877472966244,0.029507365821401187,2.223682116449941,0.184443,3.398612121116158,0.32142583465309865,0.32090014297901254,2.593939322737946,2.16937,3.8410104805307594
data\mafaulda\normal\19.6608.csv,normal,1.0500998364529213,1.0500921947128194,2.1867582859616226,5.9192,3.8203034229287063,0.31486452804839343,0.3148644896622678,2.3822009700717883,2.4671,5.302915542182262,0.0696492515552508,0.06964807730782996,3.017167973747263,0.6674800000000001,5.202496672807866,0.7016484081156289,0.6970244657851784,3.010885887593332,4.6963,3.4035564992917293,0.029171665776870737,0.02904905017868974,2.1200262285926104,0.16655999999999999,3.0029138675091978,0.23572556536677042,0.23163604219723333,2.7664412857033143,1.62676,3.5430607551887894
data\mafaulda\normal\20.2752.csv,normal,1.0381640794559237,1.038163680403562,2.2092479669270553,5.8003,3.8397591271941773,0.31934413369757003,0.31934365220767735,2.404861509482037,2.45441,5.0234209124908835,0.07055790258606974,0.07055695922271449,2.9885302580137387,0.64649,4.678568770230378,0.7196811622297854,0.7191766575377052,2.5121587032552792,4.772399999999999,3.3298078724782263,0.02898420328840165,0.028854308186788264,2.1030748247770683,0.163909,2.9616477240961614,0.25750423314426135,0.25679924488100225,2.7146545457033553,2.0809800000000003,4.344782941640953
data\mafaulda\normal\21.7088.csv,normal,0.9923497447635935,0.9923230722626314,2.183049887016091,5.5673,3.8725258104724336,0.3216738477652201,0.32167348620131164,2.3896969996420934,2.44519,5.202163654600691,0.07573612236638498,0.07573542333637559,2.9383812246519088,0.65069,4.595429349508558,0.5712601981468883,0.5712254917751194,3.221099234471049,4.4573,3.9470630142265155,0.02877903712805233,0.028672205260806723,2.077655342983471,0.162196,2.867191120610825,0.22871628981964515,0.22732962082837907,3.620906910637313,2.09114,4.812949704573923
data\mafaulda\normal\22.3232.csv,normal,1.049365121764942,1.0492296378764734,2.2357381321962024,5.849,3.7861940684086846,0.3191681346548923,0.31916798513997585,2.3791604240051276,2.40558,5.129271445776452,0.07706350154604696,0.0770625086970051,2.975997744474615,0.67203,4.414541160646194,0.540800118365304,0.530062158932917,2.777200826586228,3.9697000000000005,4.005361548638363,0.028506152654788095,0.02835632871042,2.035459377404064,0.16040500000000002,2.823355389003923,0.2253347974930854,0.2135017506633098,2.8763233110549433,1.7215,4.278566871597929
data\mafaulda\normal\23.552.csv,normal,0.9777038551520183,0.9775908351940615,2.2606097408348154,5.4249,3.6894607509450688,0.3289928481917357,0.32899247772748547,2.499313248592076,2.5214600000000003,5.261816507527667,0.07957481939155332,0.07957420177568773,2.9737545362256186,0.7836099999999999,5.07710859517419,0.7660953988486361,0.7660897207435489,2.6868633058886755,4.7758,3.2494647578047977,0.029017180736213455,0.02889297663892295,2.1023017302188154,0.159263,2.929092267086382,0.2921030580097411,0.2919942836185773,2.8123726322915847,2.1733000000000002,3.764082468410602
data\mafaulda\normal\24.576.csv,normal,0.949335055997252,0.9493347990433151,2.2487045305090354,5.9161,4.237597647071284,0.3366036878504794,0.33660356317632106,2.5514397084515323,2.59599,5.184732260737295,0.08254712452659232,0.08254648406473125,3.0894736254248922,1.00781,6.679820799262196,0.6321844727777649,0.6314839317443823,2.7428270478842607,4.550599999999999,3.8991783344172966,0.02858070704090587,0.028443892792120357,2.041157165504308,0.15203699999999998,2.7157830496401023,0.25052567447222174,0.2501303665575001,2.9747039560038475,1.95425,3.9177222122080555
data\mafaulda\normal\25.6.csv,normal,0.8992195651923763,0.8992192740269725,2.217084949426519,5.0319,3.6582833903646264,0.34373943948100066,0.3437390464093605,2.6418857177978947,2.69186,5.395656670240624,0.08335846545012503,0.08335770842658424,3.093030089122959,0.93531,5.710277856707573,0.6739028769106435,0.6737335677739319,2.6334563595548532,4.5009,3.687474983076459,0.0285277615924212,0.028386326777889295,2.0106514271422364,0.147673,2.636239071640153,0.2976856438112393,0.29768459907553246,2.658000240284786,2.2957,3.992802556358425
data\mafaulda\normal\26.624.csv,normal,0.907548513354678,0.9075188691012585,2.271018517758007,5.2363,3.7757761146629054,0.35089895692464196,0.3508987220554245,2.73507938691234,2.7923299999999998,5.345698419583138,0.08747806723360871,0.08747696128193864,3.063172600155056,0.8767100000000001,5.254688563785825,0.6002621244901863,0.5998897886519753,3.0633264621129808,4.3995,3.8228299037968587,0.02854986422116978,0.028392518281369246,2.0119709536393744,0.15831299999999998,2.9639370277936523,0.29955922730978557,0.299489676253673,2.9437080552520314,2.3723,4.352394720982677
data\mafaulda\normal\27.4432.csv,normal,0.9560333290959868,0.9558839974762825,2.3611163498504637,5.996499999999999,4.176841829728087,0.3332500971612574,0.3332497983142364,3.0893047681880366,2.9364999999999997,5.651311178833814,0.09495251938791188,0.09495199162738868,3.142728627027895,0.90342,4.878964797337237,0.6552465123910576,0.6304220211303845,2.7563801992403056,4.0899,3.576211327079715,0.08334466859401565,0.08306683778574897,2.9791944228190155,0.65463,4.479590666689008,0.16418163911863232,0.16050209693307096,3.227224262608741,1.7711700000000001,5.872215703219675
data\mafaulda\normal\28.8768.csv,normal,0.9761069636806866,0.9760420668796039,2.358650419667821,6.0994,4.08971572596723,0.36957933275857163,0.3695788233275303,2.886289205678718,3.6881,5.329302330749416,0.10750834003728023,0.10750806065669972,3.134047499475137,1.07918,5.406836337141363,0.6387886833457466,0.6387867670025178,2.61199539908995,4.1405,3.5833446323010962,0.02904623995471175,0.02881009353272978,2.069057894214485,0.156484,2.8351345938367523,0.3522372595792921,0.35219907008383905,2.7592761894187707,2.8415,4.32691306248429
data\mafaulda\normal\29.4912.csv,normal,0.9670205106627838,0.9670195334954995,2.356527689344271,5.906,3.9435564784369657,0.36652072864598056,0.36651987384579565,2.806512062309837,3.3508,5.2267166622591965,0.11142033778845452,0.11142003399227547,3.121013900065113,1.1034000000000002,5.123032390832015,0.7180435004274749,0.7166941128778589,2.548400010180262,5.393,3.9620162259112934,0.0286414342590615,0.0284890206111933,2.0394091529084704,0.145748,2.548021830370067,0.5899547270338295,0.5829785974585069,2.095439870957335,3.6038,3.0880335663226752
data\mafaulda\normal\30.72.csv,normal,0.9014247043480402,0.9014075298186554,2.3936037994435497,5.5124,3.9456429166514093,0.358313984200234,0.35831380872883534,2.666591120951818,3.2066,5.288657666266704,0.1087703469752433,0.10877000225891441,3.0762758099119725,1.39875,7.331134095291442,0.5998454551363275,0.5991120508312268,2.695251617473614,4.3595,3.8631617190248253,0.028517029931692462,0.0283970143583323,2.0264651212287417,0.14680700000000002,2.643367837261635,0.45263364197359734,0.4489096457110305,2.3638537783680973,2.979,3.5001817203467964
data\mafaulda\normal\31.744.csv,normal,0.8742888674511866,0.8741518346692296,2.4345882021688783,5.6618,4.232239637642837,0.366207471419624,0.3662070777659297,2.77357927573291,3.6532999999999998,5.780329907568712,0.1176096344693604,0.11760885392121749,3.0598265324373615,1.08811,5.017276026412613,0.5655215230152381,0.5654914291322615,2.7812807920526184,3.9204999999999997,3.5229428387184885,0.028468749378673545,0.028348999963830838,2.016090422469835,0.144843,2.562423757132269,0.33557288463268803,0.33545221516890134,3.0249127096541746,2.9633,4.508409555215261
data\mafaulda\normal\32.9728.csv,normal,0.8897760127944484,0.889722635216935,2.4818602284619113,5.8024,4.311871689504766,0.3651090035938086,0.3651086264877066,2.7099638492801263,3.3217999999999996,5.12504479777016,0.12626492542443823,0.12626441758295762,2.985766773978501,1.30531,5.4178941393158,0.47516225638507786,0.4744050693167491,2.9345250370882905,3.5385999999999997,3.751981508775387,0.028242687487934633,0.028097782760501993,1.9702060127351937,0.15046500000000002,2.678817296138662,0.27595258122548083,0.272794483851082,3.0082192190101034,2.4491,4.945052492154368
data\mafaulda\normal\33.5872.csv,normal,0.8634003073972103,0.863393766831126,2.5226918634337636,6.0277,4.744960089110505,0.36577887372618856,0.36577876497582074,2.6928903005451628,3.3888,5.310585544978851,0.1307616227612506,0.1307611492493826,3.012585120763022,1.2895699999999999,5.039628490227941,0.5068838971343042,0.5068186609091665,2.9231569865844897,4.2529,4.68549112125803,0.02850524637883501,0.0283984345597652,1.9892231120825528,0.13886199999999999,2.4373407909868905,0.2869313797731997,0.2866198366697576,3.0806232515650844,2.4839,4.810209328132517
